bas1,h,m,s,star,az,el,delay1,delay2
D/S1W2,4,28,41.0,#218703,45.783151325,77.837817209,30.208083698,57.9754193
D/S1W2,4,43,36.0,#254159,43.713066441,63.042099538,30.208158285,82.75357901
D/S1W2,4,49,43.0,#254159,42.724253278,63.910400064,30.208083698,82.868638015
D/S1W2,5,6,25.0,#236884,43.05567795,76.061440272,20.208138857,52.840597978
D/S1W2,5,14,3.0,#254159,37.675612983,67.175502729,20.208138857,73.915213524
D/S1W2,5,20,16.0,#254193,36.08465091,67.947417949,20.208138857,74.302185353
D/S1W2,5,29,38.0,#250761,53.854249468,75.161283053,20.208138857,44.93868419
D/S1W2,5,36,7.0,#254159,31.210791269,69.77206373,20.208138857,75.670124187
D/S1W2,5,42,27.0,#254193,28.998253424,70.431205724,20.208138857,76.281180103
D/S1W2,5,52,32.0,#245262,11.066806727,69.283330182,0.2081,73.612799687
D/S1W2,5,59,2.0,#251622,20.186597808,72.589560501,0.2081,57.956596429
D/S1W2,6,9,1.0,#250761,30.66532826,80.831056269,0.2081,30.831797
D/S1W2,6,14,45.0,#251622,12.124297972,73.499798669,0.2081,60.342806474
D/S1W2,6,21,1.0,#262307,10.566221393,66.052736327,0.2081,83.486227577
D/S1W2,6,27,33.0,#251622,4.948235853,73.894870971,0.2081,62.549654594
D/S1W2,6,39,47.0,#236884,323.202895347,77.60931546,0.2081,52.251430139
D/S1W2,6,49,2.0,#254193,355.749590589,73.617293566,0.2081,66.625090566
D/S1W2,6,55,1.0,#254159,352.390161555,73.480511344,0.2081,67.893911861
D/S1W2,7,4,2.0,#245262,342.119237458,68.344759245,0.2081,86.93267886
D/S1W2,11,12,30.0,#320010,354.583507762,68.262170417,0.2081,85.00976288
D/S1W2,11,56,57.0,#22136,67.094886918,69.793125988,52.208071743,65.91740536
D/S1W2,12,8,6.0,#18311,68.640617842,77.429480896,52.208201027,62.917044197
D/S1W2,12,22,32.0,#21703,60.952996609,75.015190464,52.208201027,70.522440627
D/S1W2,12,32,41.0,#18311,59.851567902,82.044992665,52.208201027,66.713729005
D/S1W2,2,53,15.0,#251622,356.981134817,73.93964131,2.913965586,67.899485767
D/S1W2,2,56,4.0,#251622,355.357348243,73.900629767,2.864509687,68.419666878
D/S1W2,3,27,38.0,#306704,67.729041137,76.605849064,10.55135366,22.155099523
D/S1W2,5,5,38.0,#301821,316.898342992,75.444883895,13.12220651,70.475310847
D/S1W2,5,50,34.0,#306704,289.994953192,73.420148582,33.459434595,80.343469672
D/S1W2,6,37,29.0,#319663,348.694455443,74.476706616,15.159049682,80.007370769
D/S1W2,8,45,8.0,#27622,45.364334893,66.815154629,22.622169011,67.294832564
D/S1W2,8,55,28.0,#27622,43.104203765,68.310099436,22.684746381,67.918950297
D/S1W2,9,27,3.0,#47739,74.226715305,59.206181991,68.497321251,71.060670374
D/S1W2,10,22,6.0,#48935,91.128298296,68.608765377,86.630624396,68.899451246
D/S1W2,10,44,22.0,#47739,75.206762906,74.706624683,67.476700682,72.192657165
D/S1W2,11,3,20.0,#47739,73.417513468,78.494070184,67.450198249,74.507251307
D/S1W2,11,27,41.0,#61103,81.422115854,75.038642278,74.445762448,73.39559259
D/S1W2,11,37,39.0,#61103,81.598750807,77.081884981,74.440564683,74.586779174
D/S1W2,11,58,50.0,#78735,93.074245702,68.544995412,87.051786632,66.801727179
D/S1W2,12,17,17.0,#78735,96.583488483,72.355385359,87.177527062,68.351513766
D/S1W2,12,43,42.0,#86029,51.330236749,72.968146999,37.44632472,67.034573257
D/S1W2,12,53,4.0,#86029,48.365704862,74.45312626,37.444845194,68.010340399
D/S1W2,9,30,17.0,#319693,38.257387382,68.666069126,24.1218916,74.396444251
D/S1W2,6,44,5.0,#237298,324.407316363,68.154781287,0.2081,84.376882418
D/S1W2,6,56,28.0,#278535,353.200462734,67.381791373,-1.791903886,86.36480238
D/S1W2,7,4,33.0,#265009,337.900971338,71.497460813,-1.791898913,73.967502658
D/S1W2,8,22,31.0,#252813,298.139291888,61.690754075,0.2081,82.556600733
D/S1W2,12,0,45.0,#18735,107.74945366,82.32555566,80.208255426,72.224797818
D/S1W2,12,7,49.0,#19572,90.352704455,83.124656778,80.208255426,80.710721191
D/S1W2,12,17,27.0,#19896,40.401702187,82.343969383,50.208197142,73.38474841
D/S1W2,12,24,2.0,#19896,32.703338589,83.158955873,40.208177713,64.661722942
D/S1W2,12,41,41.0,#22136,31.043614548,83.503278784,40.208177713,64.420896986
D/S1W2,6,0,5.0,#42399,70.27090151,37.015950634,43.994400718,54.534360154
D/S1W2,6,0,6.0,#42399,70.27237222,37.019202391,43.997137924,54.532717999
D/S1W2,6,0,7.0,#42399,70.273842889,37.022454176,43.999874189,54.531068811
D/S1W2,6,0,8.0,#42399,70.275313517,37.025705993,44.00260331,54.529417602
D/S1W2,6,8,50.0,#42399,71.037494139,38.727169135,45.302005406,53.609579378
D/S1W2,6,8,51.0,#42399,71.038943917,38.730436203,45.304239901,53.607697927
D/S1W2,6,8,52.0,#42399,71.040393656,38.733703297,45.306469039,53.605810313
D/S1W2,6,8,52.0,#42399,71.040393656,38.733703297,45.306459116,53.605810313
D/S1W2,6,44,32.0,#42399,74.059783007,45.785871538,47.917793637,48.558831018
D/S1W2,6,44,32.0,#42399,74.059783007,45.785871538,47.917793637,48.558837701
D/S1W2,6,44,33.0,#42399,74.061157872,45.789193245,47.917987917,48.556030045
D/S1W2,6,44,34.0,#42399,74.062532705,45.792514974,47.918181236,48.553220659
D/S1W2,7,13,11.0,#42399,76.380023425,51.52750514,46.834034038,43.085682506
D/S1W2,7,13,11.0,#42399,76.380023425,51.52750514,46.834040025,43.085682506
D/S1W2,7,13,12.0,#42399,76.381349725,51.530862531,46.832574758,43.082138305
D/S1W2,7,13,23.0,#42399,76.395937352,51.567795064,46.816554943,43.04320863
D/S1W2,7,36,40.0,#50729,88.403136644,46.47608716,100.4117384,65.472168542
D/S1W2,7,36,42.0,#50729,88.407634189,46.482993538,100.40980905,65.464961242
D/S1W2,7,36,52.0,#50729,88.430129746,46.517525642,100.400039514,65.428895131
D/S1W2,7,36,57.0,#50729,88.441382432,46.534791834,100.395139136,65.410832481
D/S1W2,7,51,58.0,#50033,82.628324377,52.062220816,74.413208317,56.837406878
D/S1W2,7,52,43.0,#50033,82.708555808,52.216403517,74.324479749,56.663396133
