bas1,h,m,s,star,az,el,delay1,delay2
D/S1E2P14B23,4,28,41.0,#218703,45.783151325,77.837817209,29.999983698,14.780967863
D/S1W2P15B21,4,28,41.0,#218703,45.783151325,77.837817209,29.999983698,57.5592193
D/E2W2P45B31,4,28,41.0,#218703,45.783151325,77.837817209,14.780967863,57.5592193
D/S1E2P14B23,4,43,36.0,#254159,43.713066441,63.042099538,30.000058285,75.197823352
D/S1W2P15B21,4,43,36.0,#254159,43.713066441,63.042099538,30.000058285,82.33737901
D/E2W2P45B31,4,43,36.0,#254159,43.713066441,63.042099538,75.197823352,82.33737901
D/S1W2P15B21,4,49,43.0,#254159,42.724253278,63.910400064,29.999983698,82.452438015
D/S1W2P15B21,5,6,25.0,#236884,43.05567795,76.061440272,20.000038857,52.424397978
D/S1W2P15B21,5,14,3.0,#254159,37.675612983,67.175502729,20.000038857,73.499013524
D/S1W2P15B21,5,20,16.0,#254193,36.08465091,67.947417949,20.000038857,73.885985353
D/S1W2P15B21,5,29,38.0,#250761,53.854249468,75.161283053,20.000038857,44.52248419
D/S1W2P15B21,5,36,7.0,#254159,31.210791269,69.77206373,20.000038857,75.253924187
D/S1W2P15B21,5,42,27.0,#254193,28.998253424,70.431205724,20.000038857,75.864980103
D/S1W2P15B21,5,52,32.0,#245262,11.066806727,69.283330182,0.0,73.196599687
D/S1W2P15B21,5,59,2.0,#251622,20.186597808,72.589560501,0.0,57.540396429
D/S1W2P15B21,6,9,1.0,#250761,30.66532826,80.831056269,0.0,30.415597
D/S1W2P15B21,6,14,45.0,#251622,12.124297972,73.499798669,0.0,59.926606474
D/S1W2P15B21,6,21,1.0,#262307,10.566221393,66.052736327,0.0,83.070027577
D/S1W2P15B21,6,27,33.0,#251622,4.948235853,73.894870971,0.0,62.133454594
D/S1W2P15B21,6,39,47.0,#236884,323.202895347,77.60931546,0.0,51.835230139
D/S1W2P15B21,6,49,2.0,#254193,355.749590589,73.617293566,0.0,66.208890566
D/S1W2P15B21,6,55,1.0,#254159,352.390161555,73.480511344,0.0,67.477711861
D/S1W2P15B21,7,4,2.0,#245262,342.119237458,68.344759245,0.0,86.51647886
D/S1E2P14B23,7,25,17.0,#245262,335.177714193,66.734559283,0.0,19.70837144
D/S1E2P14B23,7,43,8.0,#245262,330.339657614,65.037185844,0.0,18.934103908
D/S1E2P14B23,11,12,30.0,#320010,354.583507762,68.262170417,0.0,31.644500534
D/S1W2P15B21,11,12,30.0,#320010,354.583507762,68.262170417,0.0,84.59356288
D/E2W2P45B31,11,12,30.0,#320010,354.583507762,68.262170417,31.644500534,84.59356288
D/S1E1P12B23,11,56,57.0,#22136,67.094886918,69.793125988,51.999971743,75.567235578
D/S1W2P15B21,11,56,57.0,#22136,67.094886918,69.793125988,51.999971743,65.50120536
D/E1W2P25B31,11,56,57.0,#22136,67.094886918,69.793125988,75.567235578,65.50120536
D/S1E1P12B23,12,8,6.0,#18311,68.640617842,77.429480896,52.000101027,43.994024673
D/S1W2P15B21,12,8,6.0,#18311,68.640617842,77.429480896,52.000101027,62.500844197
D/E1W2P25B31,12,8,6.0,#18311,68.640617842,77.429480896,43.994024673,62.500844197
D/S1E1P12B23,12,22,32.0,#21703,60.952996609,75.015190464,52.000101027,61.135454989
D/S1W2P15B21,12,22,32.0,#21703,60.952996609,75.015190464,52.000101027,70.106240627
D/E1W2P25B31,12,22,32.0,#21703,60.952996609,75.015190464,61.135454989,70.106240627
D/S1E1P12B23,12,32,41.0,#18311,59.851567902,82.044992665,52.000101027,30.518342556
D/S1W2P15B21,12,32,41.0,#18311,59.851567902,82.044992665,52.000101027,66.297529005
D/E1W2P25B31,12,32,41.0,#18311,59.851567902,82.044992665,30.518342556,66.297529005
D/S1S2P12B56,4,10,19.0,#146404,59.270738476,76.315244444,9.999994566,9.040816901
D/S1S2P12B56,4,10,20.0,#146404,59.265837598,76.31821385,9.999994566,9.040852783
D/S1S2P12B56,4,10,21.0,#146404,59.260934044,76.321183103,9.999994566,9.040888742
D/S1S2P12B56,4,10,22.0,#146404,59.256027806,76.324152207,9.999994566,9.040924779
D/S1S2P12B56,7,8,31.0,#148184,290.729864104,68.868746736,5.99999674,8.34869426
D/S1S2P12B56,7,10,59.0,#148184,290.616391144,68.390393325,5.99999674,8.459533848
D/S1S2P12B56,7,40,23.0,#146404,292.670506377,60.004736309,5.99999674,11.205283769
D/S1S2P12B56,7,40,24.0,#146404,292.670549902,60.001548684,5.99999674,11.206156161
D/S1S2P12B56,7,40,26.0,#146404,292.670637828,59.995173441,5.99999674,11.20790108
D/S1S2P12B56,7,40,27.0,#146404,292.670682229,59.99198582,5.99999674,11.208773608
D/S1S2P12B56,9,38,52.0,#209044,85.954733316,70.83767255,59.999967396,55.028921772
D/S1S2P12B56,9,38,52.0,#209044,85.954733316,70.83767255,59.999967396,55.028921772
D/S1S2P12B56,9,38,53.0,#209044,85.956382096,70.841118472,59.999967396,55.0288052
D/S1S2P12B56,9,38,53.0,#209044,85.956382096,70.841118472,59.999967396,55.0288052
D/S1S2P12B56,9,47,55.0,#208121,109.533474478,70.651139723,59.999967396,50.618100643
D/S1S2P12B56,9,47,56.0,#208121,109.539114534,70.654395373,59.999967396,50.618035593
D/S1S2P12B56,9,47,56.0,#208121,109.539114534,70.654395373,59.999967396,50.618035593
D/S1S2P12B56,9,47,57.0,#208121,109.544756098,70.657650908,59.999967396,50.617970635
D/S1S2P12B56,9,55,28.0,#206612,118.294708597,71.758162426,59.999967396,49.57002448
D/S1S2P12B56,9,55,29.0,#206612,118.302027793,71.761204107,59.999967396,49.570019489
D/S1S2P12B56,9,55,29.0,#206612,118.302027793,71.761204107,59.999967396,49.570019489
D/S1S2P12B56,9,55,30.0,#206612,118.309349056,71.764245579,59.999967396,49.570014591
D/S1S2P12B56,10,4,5.0,#208121,115.840234656,73.744597612,59.999967396,50.598232629
D/S1S2P12B56,10,4,5.0,#208121,115.840234656,73.744597612,59.999967396,50.598250314
D/S1S2P12B56,10,4,6.0,#208121,115.84774989,73.747706634,59.999967396,50.598261689
D/S1S2P12B56,10,4,7.0,#208121,115.855267562,73.750815456,59.999967396,50.598285866
D/S1S2P12B56,10,12,21.0,#211069,121.930136309,73.064751799,59.999967396,49.546894173
D/S1S2P12B56,10,12,22.0,#211069,121.938487802,73.067683501,59.999967396,49.546930953
D/S1S2P12B56,10,12,22.0,#211069,121.938487802,73.067683501,59.999967396,49.546930953
D/S1S2P12B56,10,12,23.0,#211069,121.946841807,73.070614938,59.999967396,49.546967826
D/S1S2P12B56,10,21,15.0,#208121,125.139399363,76.816290904,59.999967396,50.6716215
D/S1S2P12B56,10,21,15.0,#208121,125.139399363,76.816290904,59.999967396,50.6716215
D/S1S2P12B56,10,21,16.0,#208121,125.150239522,76.819115672,59.999967396,50.671753909
D/S1S2P12B56,10,21,16.0,#208121,125.150239522,76.819115672,59.999967396,50.671753909
D/S1S2P12B56,10,29,9.0,#206612,138.821708593,77.270712518,59.999967396,49.749973523
D/S1S2P12B56,10,29,10.0,#206612,138.835570992,77.272986681,59.999967396,49.750156362
D/S1S2P12B56,10,29,10.0,#206612,138.835570992,77.272986681,59.999967396,49.750156362
D/S1S2P12B56,10,29,11.0,#206612,138.849437945,77.275260214,59.999967396,49.750339292
D/S1S2P12B56,10,37,40.0,#208121,138.201647015,79.369422883,59.999967396,50.832674857
D/S1S2P12B56,10,37,41.0,#208121,138.217720928,79.371725005,59.999967396,50.83288321
D/S1S2P12B56,10,37,41.0,#208121,138.217720928,79.371725005,59.999967396,50.83288321
D/S1S2P12B56,10,37,42.0,#208121,138.233801315,79.374026403,59.999967396,50.833091653
D/S1S2P12B56,10,46,57.0,#211069,146.517431662,78.282612607,59.999967396,49.823388842
D/S1S2P12B56,10,46,58.0,#211069,146.533675973,78.284518005,59.999967396,49.823618049
D/S1S2P12B56,10,46,58.0,#211069,146.533675973,78.284518005,59.999967396,49.823618049
D/S1S2P12B56,10,46,59.0,#211069,146.549925223,78.286422587,59.999967396,49.823859726
D/S1S2P12B56,10,55,18.0,#211069,155.271599666,79.126345691,59.999979994,49.949717248
D/S1S2P12B56,10,55,18.0,#211069,155.271599666,79.126345691,59.999979994,49.949717248
D/S1S2P12B56,10,55,20.0,#211069,155.308978125,79.129233826,59.999979994,49.950267388
D/S1S2P12B56,10,55,21.0,#211069,155.327674361,79.130676358,59.999979994,49.950530899
D/S1S2P12B56,11,6,27.0,#208121,175.899628453,81.800927273,59.999979994,51.326476
D/S1S2P12B56,11,6,28.0,#208121,175.925893346,81.801173499,59.999979994,51.326838857
D/S1S2P12B56,11,6,29.0,#208121,175.952159762,81.801418144,59.999979994,51.32718844
D/S1S2P12B56,11,6,30.0,#208121,175.978427675,81.801661211,59.999979994,51.327551474
D/S1S2P12B56,11,35,49.0,#203597,223.069112655,76.97406434,59.999979994,51.507741015
D/S1S2P12B56,11,35,50.0,#203597,223.082369012,76.971705022,59.999979994,51.508323533
D/S1S2P12B56,11,35,50.0,#203597,223.082369012,76.971705022,59.999979994,51.508323533
D/S1S2P12B56,11,35,51.0,#203597,223.095620974,76.96934512,59.999979994,51.508906134
D/S1S2P12B56,11,44,39.0,#208121,225.673034959,78.763297992,59.999979994,52.385193732
D/S1S2P12B56,11,44,40.0,#208121,225.687532061,78.760826443,59.999979994,52.385752367
D/S1S2P12B56,11,44,42.0,#208121,225.716508595,78.755881516,59.999979994,52.386869884
D/S1S2P12B56,11,44,43.0,#208121,225.730988042,78.753408137,59.999979994,52.387440982
D/S1S2P12B56,11,53,53.0,#203597,235.146726796,74.133264669,59.999979994,52.187393472
D/S1S2P12B56,11,53,54.0,#203597,235.156021078,74.13042966,59.999979994,52.188064045
D/S1S2P12B56,11,53,54.0,#203597,235.156021078,74.13042966,59.999979994,52.188064045
D/S1S2P12B56,11,53,55.0,#203597,235.165312437,74.127594332,59.999979994,52.188734698
D/E2W1P21B31,7,6,43.0,#245672,174.395340691,54.778007997,26.70540486,70.414668943
D/E2W2P25B32,7,6,43.0,#245672,174.395340691,54.778007997,26.70540486,59.999967396
D/W1W2P15B12,7,6,43.0,#245672,174.395340691,54.778007997,70.414668943,59.999967396
D/E2W1P21B31,7,6,49.0,#245672,174.438661269,54.780024494,26.643439788,70.460489015
D/E2W2P25B32,7,6,49.0,#245672,174.438661269,54.780024494,26.643439788,59.999967396
D/W1W2P15B12,7,6,49.0,#245672,174.438661269,54.780024494,70.460489015,59.999967396
D/E2W1P21B31,7,8,22.0,#245672,175.110663045,54.809283921,25.68378938,71.17144552
D/E2W2P25B32,7,8,22.0,#245672,175.110663045,54.809283921,25.68378938,59.999967396
D/W1W2P15B12,7,8,22.0,#245672,175.110663045,54.809283921,71.17144552,59.999967396
D/E2W1P21B31,7,10,27.0,#245672,176.015312278,54.842691169,24.39659935,72.128683718
D/E2W2P25B32,7,10,27.0,#245672,176.015312278,54.842691169,24.39659935,59.999967396
D/W1W2P15B12,7,10,27.0,#245672,176.015312278,54.842691169,72.128683718,59.999967396
D/E2W1P21B31,7,21,50.0,#246326,180.211415196,55.548690013,19.115481459,76.659830638
D/E2W2P25B32,7,21,50.0,#246326,180.211415196,55.548690013,19.115481459,59.999967396
D/W1W2P15B12,7,21,50.0,#246326,180.211415196,55.548690013,76.659830638,59.999967396
D/E2W1P21B31,7,21,51.0,#246326,180.218800701,55.548677044,19.105316418,76.667561637
D/E2W2P25B32,7,21,51.0,#246326,180.218800701,55.548677044,19.105316418,59.999967396
D/W1W2P15B12,7,21,51.0,#246326,180.218800701,55.548677044,76.667561637,59.999967396
D/E2W1P21B31,7,21,53.0,#246326,180.233571692,55.548649769,19.084996843,76.683023926
D/E2W2P25B32,7,21,53.0,#246326,180.233571692,55.548649769,19.084996843,59.999967396
D/W1W2P15B12,7,21,53.0,#246326,180.233571692,55.548649769,76.683023926,59.999967396
D/E2W1P21B31,7,21,54.0,#246326,180.240957182,55.548635464,19.074832482,76.690765117
D/E2W2P25B32,7,21,54.0,#246326,180.240957182,55.548635464,19.074832482,59.999967396
D/W1W2P15B12,7,21,54.0,#246326,180.240957182,55.548635464,76.690765117,59.999967396
D/E1E2P12B12,2,35,33.0,#319428,68.478555021,70.762940802,66.385631442,73.999959671
D/E1W2P15B13,2,35,33.0,#319428,68.478555021,70.762940802,66.385631442,24.319938624
D/E2W2P25B23,2,35,33.0,#319428,68.478555021,70.762940802,73.999959671,24.319938624
D/E1E2P12B12,2,35,42.0,#319428,68.466985651,70.791862763,66.355315596,73.999959671
D/E1W2P15B13,2,35,42.0,#319428,68.466985651,70.791862763,66.355315596,24.393671884
D/E2W2P25B23,2,35,42.0,#319428,68.466985651,70.791862763,73.999959671,24.393671884
D/E1E2P12B12,2,35,43.0,#319428,68.465695847,70.795076173,66.351934116,73.999959671
D/E1W2P15B13,2,35,43.0,#319428,68.465695847,70.795076173,66.351934116,24.401856769
D/E2W2P25B23,2,35,43.0,#319428,68.465695847,70.795076173,73.999959671,24.401856769
D/E1E2P12B12,2,35,45.0,#319428,68.463113647,70.801502905,66.345198416,73.999959671
D/E1W2P15B13,2,35,45.0,#319428,68.463113647,70.801502905,66.345198416,24.418246605
D/E2W2P25B23,2,35,45.0,#319428,68.463113647,70.801502905,73.999959671,24.418246605
D/E1E2P12B12,3,8,0.0,#319945,75.608233008,63.314859063,73.267370833,73.999959671
D/E1W2P15B13,3,8,0.0,#319945,75.608233008,63.314859063,73.267370833,6.883451511
D/E2W2P25B23,3,8,0.0,#319945,75.608233008,63.314859063,73.999959671,6.883451511
D/E1E2P12B12,3,8,1.0,#319945,75.608874628,63.318205187,73.263942729,73.999959671
D/E1W2P15B13,3,8,1.0,#319945,75.608874628,63.318205187,73.263942729,6.891668679
D/E2W2P25B23,3,8,1.0,#319945,75.608874628,63.318205187,73.999959671,6.891668679
D/E1E2P12B12,3,8,2.0,#319945,75.609516075,63.321551323,73.260519332,73.999959671
D/E1W2P15B13,3,8,2.0,#319945,75.609516075,63.321551323,73.260519332,6.899886022
D/E2W2P25B23,3,8,2.0,#319945,75.609516075,63.321551323,73.999959671,6.899886022
D/E1E2P12B12,3,8,3.0,#319945,75.610157348,63.324897466,73.257083464,73.999959671
D/E1W2P15B13,3,8,3.0,#319945,75.610157348,63.324897466,73.257083464,6.908094804
D/E2W2P25B23,3,8,3.0,#319945,75.610157348,63.324897466,73.999959671,6.908094804
D/E1E2P12B12,4,13,42.0,#11068,122.035593387,43.115044353,57.953928764,65.99996403
D/E1W2P15B13,4,13,42.0,#11068,122.035593387,43.115044353,57.953928764,7.665069813
D/E2W2P25B23,4,13,42.0,#11068,122.035593387,43.115044353,65.99996403,7.665069813
D/E1E2P12B12,4,13,48.0,#11068,122.059994097,43.132612814,57.928888133,65.99996403
D/E1W2P15B13,4,13,48.0,#11068,122.059994097,43.132612814,57.928888133,7.724299188
D/E2W2P25B23,4,13,48.0,#11068,122.059994097,43.132612814,65.99996403,7.724299188
D/E1E2P12B12,4,13,49.0,#11068,122.06406218,43.135540437,57.924710596,65.99996403
D/E1W2P15B13,4,13,49.0,#11068,122.06406218,43.135540437,57.924710596,7.734172517
D/E2W2P25B23,4,13,49.0,#11068,122.06406218,43.135540437,65.99996403,7.734172517
